tolerance,model,precision peptides,recall peptides,f1 peptides,precision propeptides,recall propeptides,f1 propeptides,precision all,recall all,f1 all
1,../hyperparam_runs_onehot/0/15/3,0.56,0.13725490196078433,0.22047244094488191,0.4740740740740741,0.18143160878809356,0.26242952332137365,0.5248070562293274,0.16413793103448276,0.2500656685053848
1,../hyperparam_runs_onehot/0/15/4,0.38235294117647056,0.22018348623853212,0.2794446932377967,0.2793354101765317,0.1917320028510335,0.22738799661876588,0.3390119250425894,0.21948529411764706,0.26645837982593173
2,../hyperparam_runs_esm1b_balanced/0/2/1,0.6569920844327177,0.3821949347659248,0.48326055312954885,0.571584699453552,0.37277263007840344,0.4512510785159621,0.6550480769230769,0.40400296515937734,0.4997707473635947
2,../hyperparam_runs_esm1b_balanced/0/2/2,0.6758508914100486,0.30957683741648107,0.42464358452138495,0.6151351351351352,0.40555951532430506,0.4888316151202749,0.6718954248366014,0.37905604719764013,0.4846770391324847
2,../hyperparam_runs_esm1b_balanced/0/2/3,0.6387921022067363,0.42340261739799845,0.5092592592592593,0.6761786600496278,0.3884533143264433,0.4934359438660027,0.6931473620375985,0.42569832402234636,0.5274573142593446
2,../hyperparam_runs_esm1b_balanced/0/2/4,0.628735632183908,0.4220679012345679,0.5050784856879039,0.5223880597014925,0.44903777619387025,0.48294365657339977,0.5944498539435248,0.4583333333333333,0.5175922000847817
2,../hyperparam_runs_esm1b_balanced_33/0/4/1,0.5989650711513583,0.3510235026535254,0.44263862332695986,0.4809384164222874,0.46756949394155384,0.4741597397903868,0.5455847255369929,0.4252232142857143,0.47794271377796366
2,../hyperparam_runs_esm1b_balanced_33/0/4/2,0.6116959064327485,0.3974164133738602,0.4818056195301704,0.4858369098712446,0.4034212401995723,0.44080996884735196,0.5638832997987927,0.4189088191330344,0.48070325900514577
2,../hyperparam_runs_esm1b_balanced_33/0/4/3,0.6269744835965978,0.37913299044819987,0.4725274725274725,0.5467248908296943,0.44618674269422665,0.4913657770800628,0.6261491317671093,0.4659825161535538,0.5343212028764437
2,../hyperparam_runs_esm1b_balanced_33/0/4/4,0.5453501722158438,0.3662297609868928,0.4381918819188192,0.7405405405405405,0.39059158945117606,0.5114325711619226,0.6788643533123029,0.399702823179792,0.5031564180500352
2,../hyperparam_runs_esm2_650_balanced_32/0/4/1,0.5832205683355887,0.3240601503759398,0.416626389560174,0.5927889713679746,0.398431931575196,0.47655583972719523,0.6222760290556901,0.38244047619047616,0.47373271889400914
2,../hyperparam_runs_esm2_650_balanced_32/0/4/2,0.5594405594405595,0.43681747269890797,0.4905825667980727,0.5651041666666666,0.4640057020669993,0.5095890410958904,0.5936160076226774,0.4689499435453519,0.5239697224558452
2,../hyperparam_runs_esm2_650_balanced_32/0/4/3,0.6843434343434344,0.4035740878629933,0.507728337236534,0.5389273356401384,0.44404846756949395,0.48690894880812824,0.6401041666666667,0.4535055350553506,0.5308855291576674
2,../hyperparam_runs_esm2_650_balanced_32/0/4/4,0.5784797630799605,0.4483550114766641,0.5051724137931035,0.4872944693572496,0.4647184604419102,0.4757387814666181,0.5495335406486006,0.4653875094055681,0.5039722957832553
2,../hyperparam_runs_esm2_650_balanced_33/0/1/1,0.5786384976525821,0.37405159332321697,0.45437788018433173,0.5866666666666667,0.40769779044903776,0.48107653490328006,0.6162726772952172,0.41641901931649333,0.4970073154511194
2,../hyperparam_runs_esm2_650_balanced_33/0/1/2,0.6638036809815951,0.40554722638680657,0.5034899953466728,0.6397338403041825,0.4796863863150392,0.5482688391038696,0.6752183406113537,0.45730129390018487,0.545294247299978
2,../hyperparam_runs_esm2_650_balanced_33/0/1/3,0.7526178010471204,0.4300673148840688,0.5473584007615421,0.6025390625,0.4397719173200285,0.5084466419447878,0.7037671232876712,0.45615982241953384,0.5535353535353535
2,../hyperparam_runs_esm2_650_balanced_33/0/1/4,0.6166097838452788,0.4162826420890937,0.49701971572673076,0.6243756243756243,0.44547398431931573,0.5199667221297836,0.6618044300378174,0.45539033457249073,0.5395287381634002
2,../hyperparam_runs_onehot/0/15/1,0.4978165938864629,0.14941022280471822,0.22983870967741937,0.39608269858541895,0.2594440484675695,0.3135228251507322,0.46074074074074073,0.21994342291371993,0.29775011967448534
2,../hyperparam_runs_onehot/0/15/2,0.38869257950530034,0.1476510067114094,0.21400778210116733,0.4863013698630137,0.25302922309337134,0.3328645100796999,0.45077298616761596,0.19363858790632646,0.2709046454767726
2,../hyperparam_runs_onehot/0/15/3,0.6,0.14705882352941177,0.2362204724409449,0.5483271375464684,0.2090715804394047,0.3027193432529503,0.5853658536585366,0.1820689655172414,0.27774855339295107
2,../hyperparam_runs_onehot/0/15/4,0.40294840294840295,0.23147494707127736,0.29403854773644106,0.3437826541274817,0.2344975053456878,0.2788135593220339,0.38306451612903225,0.24448529411764705,0.2984739676840215
3,../hyperparam_runs_esm1b_balanced/0/2/1,0.6869220607661823,0.3990790483499616,0.5048543689320388,0.6061269146608315,0.3948681397006415,0.478204574881312,0.6903187011425135,0.4255003706449222,0.5264847512038524
3,../hyperparam_runs_esm1b_balanced/0/2/2,0.700162074554295,0.3207126948775056,0.43991853360488803,0.6363636363636364,0.41910192444761224,0.5053717232488182,0.6950261780104712,0.3915929203539823,0.500943396226415
3,../hyperparam_runs_esm1b_balanced/0/2/3,0.6562137049941928,0.43494996150885296,0.5231481481481483,0.7126865671641791,0.40841054882394867,0.5192569098323516,0.7227963525835867,0.4428305400372439,0.5491916859122401
3,../hyperparam_runs_esm1b_balanced/0/2/4,0.6413793103448275,0.4305555555555556,0.5152354570637119,0.5399334442595674,0.4625801853171775,0.49827255278310933,0.6154221571498292,0.4733483483483483,0.5351156375981327
3,../hyperparam_runs_esm1b_balanced_33/0/4/1,0.6397919375812744,0.3730098559514784,0.47126436781609193,0.5022091310751104,0.48610121168923737,0.4940239043824701,0.5772357723577236,0.4490327380952381,0.5051265955220758
3,../hyperparam_runs_esm1b_balanced_33/0/4/2,0.6326291079812206,0.4095744680851064,0.49723247232472323,0.5258175559380379,0.4354953670705631,0.4764132553606238,0.6028297119757453,0.4458146487294469,0.5125671321160042
3,../hyperparam_runs_esm1b_balanced_33/0/4/3,0.6496350364963503,0.3923585598824394,0.489234997709574,0.5761821366024519,0.4689950106913756,0.5170923379174852,0.6571282575370465,0.4887875332573166,0.5605928509154315
3,../hyperparam_runs_esm1b_balanced_33/0/4/4,0.56601607347876,0.3801079414032382,0.4547970479704797,0.7743243243243243,0.40841054882394867,0.5347643490433971,0.7075173720783323,0.4160475482912333,0.5239766081871345
3,../hyperparam_runs_esm2_650_balanced_32/0/4/1,0.6008119079837618,0.33383458646616543,0.42919284678588693,0.6150583244962884,0.413399857448325,0.49445865302642794,0.6466666666666666,0.39694940476190477,0.4919317657906869
3,../hyperparam_runs_esm2_650_balanced_32/0/4/2,0.5894105894105894,0.46021840873634945,0.5168637757336837,0.6017391304347826,0.4932287954383464,0.5421073247160204,0.6314531548757171,0.497177267595032,0.5563276479258792
3,../hyperparam_runs_esm2_650_balanced_32/0/4/3,0.7159090909090909,0.4221891288160834,0.5311475409836066,0.5645021645021645,0.4647184604419102,0.509773260359656,0.670846394984326,0.4738007380073801,0.5553633217993079
3,../hyperparam_runs_esm2_650_balanced_32/0/4/4,0.6007905138339921,0.4651874521805662,0.5243639499784389,0.5078534031413613,0.4839629365645046,0.49562043795620436,0.5737193763919822,0.48457486832204666,0.5253926167652458
3,../hyperparam_runs_esm2_650_balanced_33/0/1/1,0.6127508854781583,0.3937784522003035,0.47944572748267905,0.6133333333333333,0.4262295081967213,0.5029436501261564,0.6504424778761062,0.43684992570579495,0.5226666666666667
3,../hyperparam_runs_esm2_650_balanced_33/0/1/2,0.7068965517241379,0.4302848575712144,0.5349487418452935,0.6577946768060836,0.4932287954383464,0.5637474541751527,0.7092004381161008,0.4787430683918669,0.5716177444272788
3,../hyperparam_runs_esm2_650_balanced_33/0/1/3,0.7892670157068062,0.45100972326103217,0.5740123750594954,0.6279296875,0.45830363506771205,0.5298722702925421,0.7365714285714285,0.47687754347021827,0.578935549068044
3,../hyperparam_runs_esm2_650_balanced_33/0/1/4,0.6552901023890785,0.4423963133640553,0.5281980742778541,0.647,0.46115466856735565,0.5384935497295048,0.6942640692640693,0.47695167286245355,0.5654473336271486
3,../hyperparam_runs_onehot/0/15/1,0.5262008733624454,0.15792922673656618,0.24294354838709672,0.4102285092491839,0.26870990734141126,0.3247200689061154,0.4840622683469237,0.2309052333804809,0.31266459181230544
3,../hyperparam_runs_onehot/0/15/2,0.4098939929328622,0.15570469798657718,0.22568093385214008,0.5191780821917809,0.2701354240912331,0.3553680262541023,0.4849225753871231,0.20796924152394267,0.2910958904109589
3,../hyperparam_runs_onehot/0/15/3,0.6266666666666667,0.15359477124183007,0.2467191601049869,0.5738317757009346,0.21757618710134657,0.31551901336073995,0.6124721603563474,0.1896551724137931,0.28962611901000523
3,../hyperparam_runs_onehot/0/15/4,0.4226044226044226,0.2427664079040226,0.3083818915284626,0.3594566353187043,0.2451888809693514,0.29152542372881357,0.40473441108545033,0.2577205882352941,0.3149146451033243
